
2024/09/21 (14:46:34) | ===> btop++ v.1.3.2
2024/09/21 (14:46:34) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/27 (17:57:22) | ===> btop++ v.1.4.0
2024/09/27 (17:57:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (17:57:29) | ===> btop++ v.1.4.0
2024/09/27 (17:57:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (14:18:42) | ===> btop++ v.1.4.0
2024/09/28 (14:18:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (20:12:32) | ===> btop++ v.1.4.0
2024/10/09 (20:12:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (21:03:43) | ===> btop++ v.1.4.0
2024/10/11 (21:03:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (11:57:02) | ===> btop++ v.1.4.0
2024/10/13 (11:57:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (11:58:21) | ===> btop++ v.1.4.0
2024/10/13 (11:58:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:39:12) | ===> btop++ v.1.4.0
2024/10/14 (11:39:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:38:28) | ===> btop++ v.1.4.0
2024/10/18 (19:38:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (15:58:28) | ===> btop++ v.1.4.0
2024/10/23 (15:58:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (15:58:49) | ===> btop++ v.1.4.0
2024/10/23 (15:58:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (18:25:40) | ===> btop++ v.1.4.0
2024/11/04 (18:25:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (18:46:27) | ===> btop++ v.1.4.0
2024/11/14 (18:46:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (17:05:55) | ===> btop++ v.1.4.0
2024/12/29 (17:05:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (20:51:33) | ===> btop++ v.1.4.0
2024/12/29 (20:51:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (20:51:56) | ===> btop++ v.1.4.0
2024/12/29 (20:51:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (21:09:19) | ===> btop++ v.1.4.0
2024/12/31 (21:09:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (21:11:00) | ===> btop++ v.1.4.0
2024/12/31 (21:11:00) | WARNING: Intel GPU: Failed to initialize PMU
